item,label,cobertura,cobertura_label,autor,autor_label,fecha_fin,fecha_inicio,margen,muestra,resultado,resultadolabel,resultadoporcentaje,resultadopregunta,publicacion,nivel_confianza,archivo,casa_registrada,ciudadanos_registrados,censo_personas16
69989add5e38123e6497,Primera encuesta de opinión IPSOS - CIESMORI - Alcaldia de Santa Cruz,698399613415da3b0042,,698614d000339f39a826,,2026-02-15,2026-02-06,2,2405,699de867b4edd88ebf7a,Voto Blanco,2,¿Si hoy fueran las elecciones para alcalde?,2026-02-20,95,https://www.youtube.com/watch?v=6DteKbtJI-c,True,1126505,1167979
69989add5e38123e6497,Primera encuesta de opinión IPSOS - CIESMORI - Alcaldia de Santa Cruz,698399613415da3b0042,,698614d000339f39a826,,2026-02-15,2026-02-06,2,2405,699de9885434183c4583,Voto Nulo,2.3,¿Si hoy fueran las elecciones para alcalde?,2026-02-20,95,https://www.youtube.com/watch?v=6DteKbtJI-c,True,1149829,1167979
69989add5e38123e6497,Primera encuesta de opinión IPSOS - CIESMORI - Alcaldia de Santa Cruz,698399613415da3b0042,,698614d000339f39a826,,2026-02-15,2026-02-06,2,2405,699de9885434183c4583,Voto Nulo,2.3,¿Si hoy fueran las elecciones para alcalde?,2026-02-20,95,https://www.youtube.com/watch?v=6DteKbtJI-c,True,1126505,1167979
69989add5e38123e6497,Primera encuesta de opinión IPSOS - CIESMORI - Alcaldia de Santa Cruz,698399613415da3b0042,,698614d000339f39a826,,2026-02-15,2026-02-06,2,2405,Federico Morón,,0.8,¿Si hoy fueran las elecciones para alcalde?,2026-02-20,95,https://www.youtube.com/watch?v=6DteKbtJI-c,True,1149829,1167979
69989add5e38123e6497,Primera encuesta de opinión IPSOS - CIESMORI - Alcaldia de Santa Cruz,698399613415da3b0042,,698614d000339f39a826,,2026-02-15,2026-02-06,2,2405,Federico Morón,,0.8,¿Si hoy fueran las elecciones para alcalde?,2026-02-20,95,https://www.youtube.com/watch?v=6DteKbtJI-c,True,1126505,1167979
69989add5e38123e6497,Primera encuesta de opinión IPSOS - CIESMORI - Alcaldia de Santa Cruz,698399613415da3b0042,,698614d000339f39a826,,2026-02-15,2026-02-06,2,2405,Paola Cronembold,,0.6,¿Si hoy fueran las elecciones para alcalde?,2026-02-20,95,https://www.youtube.com/watch?v=6DteKbtJI-c,True,1149829,1167979
69989add5e38123e6497,Primera encuesta de opinión IPSOS - CIESMORI - Alcaldia de Santa Cruz,698399613415da3b0042,,698614d000339f39a826,,2026-02-15,2026-02-06,2,2405,Paola Cronembold,,0.6,¿Si hoy fueran las elecciones para alcalde?,2026-02-20,95,https://www.youtube.com/watch?v=6DteKbtJI-c,True,1126505,1167979
69989add5e38123e6497,Primera encuesta de opinión IPSOS - CIESMORI - Alcaldia de Santa Cruz,698399613415da3b0042,,698614d000339f39a826,,2026-02-15,2026-02-06,2,2405,Gomer Padilla,,0.4,¿Si hoy fueran las elecciones para alcalde?,2026-02-20,95,https://www.youtube.com/watch?v=6DteKbtJI-c,True,1149829,1167979
69989add5e38123e6497,Primera encuesta de opinión IPSOS - CIESMORI - Alcaldia de Santa Cruz,698399613415da3b0042,,698614d000339f39a826,,2026-02-15,2026-02-06,2,2405,Gomer Padilla,,0.4,¿Si hoy fueran las elecciones para alcalde?,2026-02-20,95,https://www.youtube.com/watch?v=6DteKbtJI-c,True,1126505,1167979
69989add5e38123e6497,Primera encuesta de opinión IPSOS - CIESMORI - Alcaldia de Santa Cruz,698399613415da3b0042,,698614d000339f39a826,,2026-02-15,2026-02-06,2,2405,Rafael Quinteros,,0,¿Si hoy fueran las elecciones para alcalde?,2026-02-20,95,https://www.youtube.com/watch?v=6DteKbtJI-c,True,1149829,1167979
69989add5e38123e6497,Primera encuesta de opinión IPSOS - CIESMORI - Alcaldia de Santa Cruz,698399613415da3b0042,,698614d000339f39a826,,2026-02-15,2026-02-06,2,2405,Rafael Quinteros,,0,¿Si hoy fueran las elecciones para alcalde?,2026-02-20,95,https://www.youtube.com/watch?v=6DteKbtJI-c,True,1126505,1167979
69989add5e38123e6497,Primera encuesta de opinión IPSOS - CIESMORI - Alcaldia de Santa Cruz,698399613415da3b0042,,698614d000339f39a826,,2026-02-15,2026-02-06,2,2405,698fecf5b6f1138877b6,Voto Indeciso,7.7,¿Si hoy fueran las elecciones para alcalde?,2026-02-20,95,https://www.youtube.com/watch?v=6DteKbtJI-c,True,1149829,1167979
69989add5e38123e6497,Primera encuesta de opinión IPSOS - CIESMORI - Alcaldia de Santa Cruz,698399613415da3b0042,,698614d000339f39a826,,2026-02-15,2026-02-06,2,2405,698fecf5b6f1138877b6,Voto Indeciso,7.7,¿Si hoy fueran las elecciones para alcalde?,2026-02-20,95,https://www.youtube.com/watch?v=6DteKbtJI-c,True,1126505,1167979
6998957ee05da570839c,Primera encuesta de opinión IPSOS - CIESMORI - Gobernacion de La Paz,6983986f27930b142391,,698614d000339f39a826,,2026-02-15,2026-02-06,1.28,5802,,,,,,,,True,,2229029
699896cebe6900b85738,Primera encuesta de opinión IPSOS - CIESMORI - Gobernacion de Cochabamba,698398675bb38121fa86,,698614d000339f39a826,,2026-02-15,2026-02-06,1.49,4650,,,,,,,,True,,1445264
69989a8aef5b907305e7,Primera encuesta de opinión IPSOS - CIESMORI - Gobernacion de Santa Cruz,69839869e17caed5adf0,,698614d000339f39a826,,2026-02-15,2026-02-06,1.5,4285,,,,,,,,True,,2180417
69989aa86ff300cc19a8,Primera encuesta de opinión IPSOS - CIESMORI - Alcaldia de La Paz,69839a1ea14be0c0f130,,698614d000339f39a826,,2026-02-15,2026-02-06,2,2401,698feee7df236c93676a,Voto Ninguno,35,,,,,True,655971,596678
69989aa86ff300cc19a8,Primera encuesta de opinión IPSOS - CIESMORI - Alcaldia de La Paz,69839a1ea14be0c0f130,,698614d000339f39a826,,2026-02-15,2026-02-06,2,2401,698feee7df236c93676a,Voto Ninguno,35,,,,,True,639803,596678
69989aa86ff300cc19a8,Primera encuesta de opinión IPSOS - CIESMORI - Alcaldia de La Paz,69839a1ea14be0c0f130,,698614d000339f39a826,,2026-02-15,2026-02-06,2,2401,698fecf5b6f1138877b6,Voto Indeciso,34,,,,,True,655971,596678
69989aa86ff300cc19a8,Primera encuesta de opinión IPSOS - CIESMORI - Alcaldia de La Paz,69839a1ea14be0c0f130,,698614d000339f39a826,,2026-02-15,2026-02-06,2,2401,698fecf5b6f1138877b6,Voto Indeciso,34,,,,,True,639803,596678
69989aa86ff300cc19a8,Primera encuesta de opinión IPSOS - CIESMORI - Alcaldia de La Paz,69839a1ea14be0c0f130,,698614d000339f39a826,,2026-02-15,2026-02-06,2,2401,69989c4eaacb9d6a5356,No sabe / No responde,4,,,,,True,655971,596678
69989aa86ff300cc19a8,Primera encuesta de opinión IPSOS - CIESMORI - Alcaldia de La Paz,69839a1ea14be0c0f130,,698614d000339f39a826,,2026-02-15,2026-02-06,2,2401,69989c4eaacb9d6a5356,No sabe / No responde,4,,,,,True,639803,596678
69989aa86ff300cc19a8,Primera encuesta de opinión IPSOS - CIESMORI - Alcaldia de La Paz,69839a1ea14be0c0f130,,698614d000339f39a826,,2026-02-15,2026-02-06,2,2401,69859fe10034b8026e40,Cesar Luis Dockweiler Suarez,21.6,¿Si hoy fueran las elecciones para alcalde?,,,,True,655971,596678
69989aa86ff300cc19a8,Primera encuesta de opinión IPSOS - CIESMORI - Alcaldia de La Paz,69839a1ea14be0c0f130,,698614d000339f39a826,,2026-02-15,2026-02-06,2,2401,69859fe10034b8026e40,Cesar Luis Dockweiler Suarez,21.6,¿Si hoy fueran las elecciones para alcalde?,,,,True,639803,596678
69989aa86ff300cc19a8,Primera encuesta de opinión IPSOS - CIESMORI - Alcaldia de La Paz,69839a1ea14be0c0f130,,698614d000339f39a826,,2026-02-15,2026-02-06,2,2401,698598e80001a6290e72,Waldo Albarracin Sanchez,11.9,¿Si hoy fueran las elecciones para alcalde?,,,,True,655971,596678
69989aa86ff300cc19a8,Primera encuesta de opinión IPSOS - CIESMORI - Alcaldia de La Paz,69839a1ea14be0c0f130,,698614d000339f39a826,,2026-02-15,2026-02-06,2,2401,698598e80001a6290e72,Waldo Albarracin Sanchez,11.9,¿Si hoy fueran las elecciones para alcalde?,,,,True,639803,596678
69989aa86ff300cc19a8,Primera encuesta de opinión IPSOS - CIESMORI - Alcaldia de La Paz,69839a1ea14be0c0f130,,698614d000339f39a826,,2026-02-15,2026-02-06,2,2401,6985a854000f96009c52,Oscar Manuel Sogliano Helguero,11.7,¿Si hoy fueran las elecciones para alcalde?,,,,True,655971,596678
69989aa86ff300cc19a8,Primera encuesta de opinión IPSOS - CIESMORI - Alcaldia de La Paz,69839a1ea14be0c0f130,,698614d000339f39a826,,2026-02-15,2026-02-06,2,2401,6985a854000f96009c52,Oscar Manuel Sogliano Helguero,11.7,¿Si hoy fueran las elecciones para alcalde?,,,,True,639803,596678
69989aa86ff300cc19a8,Primera encuesta de opinión IPSOS - CIESMORI - Alcaldia de La Paz,69839a1ea14be0c0f130,,698614d000339f39a826,,2026-02-15,2026-02-06,2,2401,6985a8d2002dc8145bd7,Hernan Ivan Arias Duran,10.8,¿Si hoy fueran las elecciones para alcalde?,,,,True,655971,596678
69989aa86ff300cc19a8,Primera encuesta de opinión IPSOS - CIESMORI - Alcaldia de La Paz,69839a1ea14be0c0f130,,698614d000339f39a826,,2026-02-15,2026-02-06,2,2401,6985a8d2002dc8145bd7,Hernan Ivan Arias Duran,10.8,¿Si hoy fueran las elecciones para alcalde?,,,,True,639803,596678
69989aa86ff300cc19a8,Primera encuesta de opinión IPSOS - CIESMORI - Alcaldia de La Paz,69839a1ea14be0c0f130,,698614d000339f39a826,,2026-02-15,2026-02-06,2,2401,6985980d00236ce4ff5c,Jhonny Dario Plata Chalar,7.2,¿Si hoy fueran las elecciones para alcalde?,,,,True,655971,596678
69989aa86ff300cc19a8,Primera encuesta de opinión IPSOS - CIESMORI - Alcaldia de La Paz,69839a1ea14be0c0f130,,698614d000339f39a826,,2026-02-15,2026-02-06,2,2401,6985980d00236ce4ff5c,Jhonny Dario Plata Chalar,7.2,¿Si hoy fueran las elecciones para alcalde?,,,,True,639803,596678
69989aa86ff300cc19a8,Primera encuesta de opinión IPSOS - CIESMORI - Alcaldia de La Paz,69839a1ea14be0c0f130,,698614d000339f39a826,,2026-02-15,2026-02-06,2,2401,69859a5d00053ac87cc1,Francisco Xavier Iturralde Torrico,6.4,¿Si hoy fueran las elecciones para alcalde?,,,,True,655971,596678
69989aa86ff300cc19a8,Primera encuesta de opinión IPSOS - CIESMORI - Alcaldia de La Paz,69839a1ea14be0c0f130,,698614d000339f39a826,,2026-02-15,2026-02-06,2,2401,69859a5d00053ac87cc1,Francisco Xavier Iturralde Torrico,6.4,¿Si hoy fueran las elecciones para alcalde?,,,,True,639803,596678
69989aa86ff300cc19a8,Primera encuesta de opinión IPSOS - CIESMORI - Alcaldia de La Paz,69839a1ea14be0c0f130,,698614d000339f39a826,,2026-02-15,2026-02-06,2,2401,69859ea1003e28cc1b41,Carlos Eduardo Palenque Monroy,4.6,¿Si hoy fueran las elecciones para alcalde?,,,,True,655971,596678
69989aa86ff300cc19a8,Primera encuesta de opinión IPSOS - CIESMORI - Alcaldia de La Paz,69839a1ea14be0c0f130,,698614d000339f39a826,,2026-02-15,2026-02-06,2,2401,69859ea1003e28cc1b41,Carlos Eduardo Palenque Monroy,4.6,¿Si hoy fueran las elecciones para alcalde?,,,,True,639803,596678
69989aa86ff300cc19a8,Primera encuesta de opinión IPSOS - CIESMORI - Alcaldia de La Paz,69839a1ea14be0c0f130,,698614d000339f39a826,,2026-02-15,2026-02-06,2,2401,6985a8a9000a5a6c22c4,Carlos Nemo Rivero Auza,1,¿Si hoy fueran las elecciones para alcalde?,,,,True,655971,596678
69989aa86ff300cc19a8,Primera encuesta de opinión IPSOS - CIESMORI - Alcaldia de La Paz,69839a1ea14be0c0f130,,698614d000339f39a826,,2026-02-15,2026-02-06,2,2401,6985a8a9000a5a6c22c4,Carlos Nemo Rivero Auza,1,¿Si hoy fueran las elecciones para alcalde?,,,,True,639803,596678
69989aa86ff300cc19a8,Primera encuesta de opinión IPSOS - CIESMORI - Alcaldia de La Paz,69839a1ea14be0c0f130,,698614d000339f39a826,,2026-02-15,2026-02-06,2,2401,Mario Silva,,1,¿Si hoy fueran las elecciones para alcalde?,,,,True,655971,596678
69989aa86ff300cc19a8,Primera encuesta de opinión IPSOS - CIESMORI - Alcaldia de La Paz,69839a1ea14be0c0f130,,698614d000339f39a826,,2026-02-15,2026-02-06,2,2401,Mario Silva,,1,¿Si hoy fueran las elecciones para alcalde?,,,,True,639803,596678
69989aa86ff300cc19a8,Primera encuesta de opinión IPSOS - CIESMORI - Alcaldia de La Paz,69839a1ea14be0c0f130,,698614d000339f39a826,,2026-02-15,2026-02-06,2,2401,69859c5500231ec9dcf3,Luis Eduardo Siles Perez,0.6,¿Si hoy fueran las elecciones para alcalde?,,,,True,655971,596678
69989aa86ff300cc19a8,Primera encuesta de opinión IPSOS - CIESMORI - Alcaldia de La Paz,69839a1ea14be0c0f130,,698614d000339f39a826,,2026-02-15,2026-02-06,2,2401,69859c5500231ec9dcf3,Luis Eduardo Siles Perez,0.6,¿Si hoy fueran las elecciones para alcalde?,,,,True,639803,596678
69989aa86ff300cc19a8,Primera encuesta de opinión IPSOS - CIESMORI - Alcaldia de La Paz,69839a1ea14be0c0f130,,698614d000339f39a826,,2026-02-15,2026-02-06,2,2401,69859b6e0024aab964b6,Miguel Antonio Roca Sanchez,0.6,¿Si hoy fueran las elecciones para alcalde?,,,,True,655971,596678
69989aa86ff300cc19a8,Primera encuesta de opinión IPSOS - CIESMORI - Alcaldia de La Paz,69839a1ea14be0c0f130,,698614d000339f39a826,,2026-02-15,2026-02-06,2,2401,69859b6e0024aab964b6,Miguel Antonio Roca Sanchez,0.6,¿Si hoy fueran las elecciones para alcalde?,,,,True,639803,596678
69989aa86ff300cc19a8,Primera encuesta de opinión IPSOS - CIESMORI - Alcaldia de La Paz,69839a1ea14be0c0f130,,698614d000339f39a826,,2026-02-15,2026-02-06,2,2401,6985a77500074567cf33,Ricardo Eloy Cuevas Vera,0.4,¿Si hoy fueran las elecciones para alcalde?,,,,True,655971,596678
69989aa86ff300cc19a8,Primera encuesta de opinión IPSOS - CIESMORI - Alcaldia de La Paz,69839a1ea14be0c0f130,,698614d000339f39a826,,2026-02-15,2026-02-06,2,2401,6985a77500074567cf33,Ricardo Eloy Cuevas Vera,0.4,¿Si hoy fueran las elecciones para alcalde?,,,,True,639803,596678
69989aa86ff300cc19a8,Primera encuesta de opinión IPSOS - CIESMORI - Alcaldia de La Paz,69839a1ea14be0c0f130,,698614d000339f39a826,,2026-02-15,2026-02-06,2,2401,6985a6330013a4641c7a,Hernan Rodrigo Rivera Nava,0.3,¿Si hoy fueran las elecciones para alcalde?,,,,True,655971,596678
69989aa86ff300cc19a8,Primera encuesta de opinión IPSOS - CIESMORI - Alcaldia de La Paz,69839a1ea14be0c0f130,,698614d000339f39a826,,2026-02-15,2026-02-06,2,2401,6985a6330013a4641c7a,Hernan Rodrigo Rivera Nava,0.3,¿Si hoy fueran las elecciones para alcalde?,,,,True,639803,596678
69989aa86ff300cc19a8,Primera encuesta de opinión IPSOS - CIESMORI - Alcaldia de La Paz,69839a1ea14be0c0f130,,698614d000339f39a826,,2026-02-15,2026-02-06,2,2401,6985a1eb0017bb8d43df,Raul Daza Quiroga,0.3,¿Si hoy fueran las elecciones para alcalde?,,,,True,655971,596678
69989aa86ff300cc19a8,Primera encuesta de opinión IPSOS - CIESMORI - Alcaldia de La Paz,69839a1ea14be0c0f130,,698614d000339f39a826,,2026-02-15,2026-02-06,2,2401,6985a1eb0017bb8d43df,Raul Daza Quiroga,0.3,¿Si hoy fueran las elecciones para alcalde?,,,,True,639803,596678
